Age,EstimatedSalary,Purchased,AgeGroup,SalaryGroup,PurchaseStatus,SalaryPerAge
19,19000,0,18-25,Low (≤30K),Not Purchased,1000.0
35,20000,0,26-35,Low (≤30K),Not Purchased,571.43
26,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1653.85
27,57000,0,26-35,Medium-Low (30K-60K),Not Purchased,2111.11
19,76000,0,18-25,Medium (60K-90K),Not Purchased,4000.0
27,58000,0,26-35,Medium-Low (30K-60K),Not Purchased,2148.15
27,84000,0,26-35,Medium (60K-90K),Not Purchased,3111.11
32,150000,1,26-35,High (>120K),Purchased,4687.5
25,33000,0,18-25,Medium-Low (30K-60K),Not Purchased,1320.0
35,65000,0,26-35,Medium (60K-90K),Not Purchased,1857.14
26,80000,0,26-35,Medium (60K-90K),Not Purchased,3076.92
26,52000,0,26-35,Medium-Low (30K-60K),Not Purchased,2000.0
20,86000,0,18-25,Medium (60K-90K),Not Purchased,4300.0
32,18000,0,26-35,Low (≤30K),Not Purchased,562.5
18,82000,0,18-25,Medium (60K-90K),Not Purchased,4555.56
29,80000,0,26-35,Medium (60K-90K),Not Purchased,2758.62
47,25000,1,46-55,Low (≤30K),Purchased,531.91
45,26000,1,36-45,Low (≤30K),Purchased,577.78
46,28000,1,46-55,Low (≤30K),Purchased,608.7
48,29000,1,46-55,Low (≤30K),Purchased,604.17
45,22000,1,36-45,Low (≤30K),Purchased,488.89
47,49000,1,46-55,Medium-Low (30K-60K),Purchased,1042.55
48,41000,1,46-55,Medium-Low (30K-60K),Purchased,854.17
46,23000,1,46-55,Low (≤30K),Purchased,500.0
47,20000,1,46-55,Low (≤30K),Purchased,425.53
49,28000,1,46-55,Low (≤30K),Purchased,571.43
47,30000,1,46-55,Low (≤30K),Purchased,638.3
29,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1482.76
31,18000,0,26-35,Low (≤30K),Not Purchased,580.65
31,74000,0,26-35,Medium (60K-90K),Not Purchased,2387.1
27,137000,1,26-35,High (>120K),Purchased,5074.07
21,16000,0,18-25,Low (≤30K),Not Purchased,761.9
28,44000,0,26-35,Medium-Low (30K-60K),Not Purchased,1571.43
27,90000,0,26-35,Medium (60K-90K),Not Purchased,3333.33
35,27000,0,26-35,Low (≤30K),Not Purchased,771.43
33,28000,0,26-35,Low (≤30K),Not Purchased,848.48
30,49000,0,26-35,Medium-Low (30K-60K),Not Purchased,1633.33
26,72000,0,26-35,Medium (60K-90K),Not Purchased,2769.23
27,31000,0,26-35,Medium-Low (30K-60K),Not Purchased,1148.15
27,17000,0,26-35,Low (≤30K),Not Purchased,629.63
33,51000,0,26-35,Medium-Low (30K-60K),Not Purchased,1545.45
35,108000,0,26-35,Medium-High (90K-120K),Not Purchased,3085.71
30,15000,0,26-35,Low (≤30K),Not Purchased,500.0
28,84000,0,26-35,Medium (60K-90K),Not Purchased,3000.0
23,20000,0,18-25,Low (≤30K),Not Purchased,869.57
25,79000,0,18-25,Medium (60K-90K),Not Purchased,3160.0
27,54000,0,26-35,Medium-Low (30K-60K),Not Purchased,2000.0
30,135000,1,26-35,High (>120K),Purchased,4500.0
31,89000,0,26-35,Medium (60K-90K),Not Purchased,2870.97
24,32000,0,18-25,Medium-Low (30K-60K),Not Purchased,1333.33
18,44000,0,18-25,Medium-Low (30K-60K),Not Purchased,2444.44
29,83000,0,26-35,Medium (60K-90K),Not Purchased,2862.07
35,23000,0,26-35,Low (≤30K),Not Purchased,657.14
24,55000,0,18-25,Medium-Low (30K-60K),Not Purchased,2291.67
23,48000,0,18-25,Medium-Low (30K-60K),Not Purchased,2086.96
28,79000,0,26-35,Medium (60K-90K),Not Purchased,2821.43
22,18000,0,18-25,Low (≤30K),Not Purchased,818.18
32,117000,0,26-35,Medium-High (90K-120K),Not Purchased,3656.25
27,20000,0,26-35,Low (≤30K),Not Purchased,740.74
25,87000,0,18-25,Medium (60K-90K),Not Purchased,3480.0
23,66000,0,18-25,Medium (60K-90K),Not Purchased,2869.57
32,120000,1,26-35,Medium-High (90K-120K),Purchased,3750.0
59,83000,0,55+,Medium (60K-90K),Not Purchased,1406.78
24,58000,0,18-25,Medium-Low (30K-60K),Not Purchased,2416.67
24,19000,0,18-25,Low (≤30K),Not Purchased,791.67
23,82000,0,18-25,Medium (60K-90K),Not Purchased,3565.22
22,63000,0,18-25,Medium (60K-90K),Not Purchased,2863.64
31,68000,0,26-35,Medium (60K-90K),Not Purchased,2193.55
25,80000,0,18-25,Medium (60K-90K),Not Purchased,3200.0
24,27000,0,18-25,Low (≤30K),Not Purchased,1125.0
20,23000,0,18-25,Low (≤30K),Not Purchased,1150.0
33,113000,0,26-35,Medium-High (90K-120K),Not Purchased,3424.24
34,112000,1,26-35,Medium-High (90K-120K),Purchased,3294.12
18,52000,0,18-25,Medium-Low (30K-60K),Not Purchased,2888.89
22,27000,0,18-25,Low (≤30K),Not Purchased,1227.27
28,87000,0,26-35,Medium (60K-90K),Not Purchased,3107.14
26,17000,0,26-35,Low (≤30K),Not Purchased,653.85
30,80000,0,26-35,Medium (60K-90K),Not Purchased,2666.67
39,42000,0,36-45,Medium-Low (30K-60K),Not Purchased,1076.92
20,49000,0,18-25,Medium-Low (30K-60K),Not Purchased,2450.0
35,88000,0,26-35,Medium (60K-90K),Not Purchased,2514.29
30,62000,0,26-35,Medium (60K-90K),Not Purchased,2066.67
31,118000,1,26-35,Medium-High (90K-120K),Purchased,3806.45
28,85000,0,26-35,Medium (60K-90K),Not Purchased,3035.71
26,81000,0,26-35,Medium (60K-90K),Not Purchased,3115.38
35,50000,0,26-35,Medium-Low (30K-60K),Not Purchased,1428.57
22,81000,0,18-25,Medium (60K-90K),Not Purchased,3681.82
30,116000,0,26-35,Medium-High (90K-120K),Not Purchased,3866.67
26,15000,0,26-35,Low (≤30K),Not Purchased,576.92
29,28000,0,26-35,Low (≤30K),Not Purchased,965.52
35,44000,0,26-35,Medium-Low (30K-60K),Not Purchased,1257.14
35,25000,0,26-35,Low (≤30K),Not Purchased,714.29
28,123000,1,26-35,High (>120K),Purchased,4392.86
35,73000,0,26-35,Medium (60K-90K),Not Purchased,2085.71
28,37000,0,26-35,Medium-Low (30K-60K),Not Purchased,1321.43
27,88000,0,26-35,Medium (60K-90K),Not Purchased,3259.26
28,59000,0,26-35,Medium-Low (30K-60K),Not Purchased,2107.14
32,86000,0,26-35,Medium (60K-90K),Not Purchased,2687.5
33,149000,1,26-35,High (>120K),Purchased,4515.15
19,21000,0,18-25,Low (≤30K),Not Purchased,1105.26
21,72000,0,18-25,Medium (60K-90K),Not Purchased,3428.57
26,35000,0,26-35,Medium-Low (30K-60K),Not Purchased,1346.15
27,89000,0,26-35,Medium (60K-90K),Not Purchased,3296.3
26,86000,0,26-35,Medium (60K-90K),Not Purchased,3307.69
38,80000,0,36-45,Medium (60K-90K),Not Purchased,2105.26
39,71000,0,36-45,Medium (60K-90K),Not Purchased,1820.51
37,71000,0,36-45,Medium (60K-90K),Not Purchased,1918.92
38,61000,0,36-45,Medium (60K-90K),Not Purchased,1605.26
37,55000,0,36-45,Medium-Low (30K-60K),Not Purchased,1486.49
42,80000,0,36-45,Medium (60K-90K),Not Purchased,1904.76
40,57000,0,36-45,Medium-Low (30K-60K),Not Purchased,1425.0
35,75000,0,26-35,Medium (60K-90K),Not Purchased,2142.86
36,52000,0,36-45,Medium-Low (30K-60K),Not Purchased,1444.44
40,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1475.0
41,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1439.02
36,75000,0,36-45,Medium (60K-90K),Not Purchased,2083.33
37,72000,0,36-45,Medium (60K-90K),Not Purchased,1945.95
40,75000,0,36-45,Medium (60K-90K),Not Purchased,1875.0
35,53000,0,26-35,Medium-Low (30K-60K),Not Purchased,1514.29
41,51000,0,36-45,Medium-Low (30K-60K),Not Purchased,1243.9
